Gen,C1_name,C1_unary1_key,C1_binary_key,C1_unary2_key,C2_name,C2_unary1_key,C2_binary_key,C2_unary2_key,C3_name,C3_unary1_key,C3_binary_key,C3_unary2_key,Loss,Accuracy
10,x**2 - (1/(1 + exp(-x))),x**2,x1 - x2,(1/(1 + exp(-x))),"min(x, 0) * sqrt(x)","min(x, 0)",x1 * x2,sqrt(x),log(abs(x + err)) - (-x),log(abs(x + err)),x1 - x2,(-x),nan,0.10000000149011612
10,x / ((-x) + err),x,x1 / (x2 + err),(-x),x - (1/(1 + exp(-x))),x,x1 - x2,(1/(1 + exp(-x))),"min(1, (-x))",1,"min(x1, x2)",(-x),2.3027472496032715,0.10000000149011612
10,"x**3 - min(x, 0)",x**3,x1 - x2,"min(x, 0)","max(x, 1)",x,"max(x1, x2)",1,"min(sinc(x), max(x, 0))",sinc(x),"min(x1, x2)","max(x, 0)",1.4043651819229126,0.5026000142097473
10,"max(cosh(x), erf(x))",cosh(x),"max(x1, x2)",erf(x),"max(min(x, 0), max(x, 0))","min(x, 0)","max(x1, x2)","max(x, 0)",(1/(1 + exp(-x))) - exp(x),(1/(1 + exp(-x))),x1 - x2,exp(x),nan,0.10000000149011612
10,"max(sin(x), (1/(1 + exp(-x))))",sin(x),"max(x1, x2)",(1/(1 + exp(-x))),"max(sqrt(x), max(x, 0))",sqrt(x),"max(x1, x2)","max(x, 0)","min(x**2, max(x, 0))",x**2,"min(x1, x2)","max(x, 0)",nan,0.10000000149011612
10,"max(log(1 + exp(x)), min(x, 0))",log(1 + exp(x)),"max(x1, x2)","min(x, 0)",sinc(x) * sqrt(x),sinc(x),x1 * x2,sqrt(x),"sinc(x) - max(x, 0)",sinc(x),x1 - x2,"max(x, 0)",1.1987500190734863,0.5730000138282776
10,"max(x, (1/(1 + exp(-x))))",x,"max(x1, x2)",(1/(1 + exp(-x))),"min(min(x, 0), cosh(x))","min(x, 0)","min(x1, x2)",cosh(x),x * log(1 + exp(x)),x,x1 * x2,log(1 + exp(x)),0.827509880065918,0.7128000259399414
10,"max(min(x, 0), log(1 + exp(x)))","min(x, 0)","max(x1, x2)",log(1 + exp(x)),asinh(x) + (-x),asinh(x),x1 + x2,(-x),"min(min(x, 0), log(abs(x + err)))","min(x, 0)","min(x1, x2)",log(abs(x + err)),nan,0.10000000149011612
10,x**2 / ((1/(1 + exp(-x))) + err),x**2,x1 / (x2 + err),(1/(1 + exp(-x))),"max(min(x, 0), max(x, 0))","min(x, 0)","max(x1, x2)","max(x, 0)","min(x**2, asinh(x))",x**2,"min(x1, x2)",asinh(x),nan,0.10000000149011612
10,"max(sin(x), abs(x))",sin(x),"max(x1, x2)",abs(x),"max(min(x, 0), max(x, 0))","min(x, 0)","max(x1, x2)","max(x, 0)","min(x**2, asinh(x))",x**2,"min(x1, x2)",asinh(x),0.7966880798339844,0.7232000231742859
10,"max(cosh(x), erf(x))",cosh(x),"max(x1, x2)",erf(x),"max(min(x, 0), asinh(x))","min(x, 0)","max(x1, x2)",asinh(x),sinh(x) + asinh(x),sinh(x),x1 + x2,asinh(x),nan,0.10000000149011612
10,"max((-x), min(x, 0))",(-x),"max(x1, x2)","min(x, 0)",sqrt(x) * asinh(x),sqrt(x),x1 * x2,asinh(x),1 * asinh(x),1,x1 * x2,asinh(x),0.7944052815437317,0.7202000021934509
10,"max(min(x, 0), log(1 + exp(x)))","min(x, 0)","max(x1, x2)",log(1 + exp(x)),"max(1, asinh(x))",1,"max(x1, x2)",asinh(x),"max(x, 0) + log(1 + exp(x))","max(x, 0)",x1 + x2,log(1 + exp(x)),0.7970790863037109,0.722599983215332
10,"max(cosh(x), erf(x))",cosh(x),"max(x1, x2)",erf(x),"max(min(x, 0), max(x, 0))","min(x, 0)","max(x1, x2)","max(x, 0)","max(min(x, 0), x)","min(x, 0)","max(x1, x2)",x,0.9490560293197632,0.6625999808311462
10,"max(log(abs(x + err)), x**2)",log(abs(x + err)),"max(x1, x2)",x**2,"max((-x), x**3)",(-x),"max(x1, x2)",x**3,"min(x, 0) - asinh(x)","min(x, 0)",x1 - x2,asinh(x),2.3016891479492188,0.12680000066757202
10,x**2 / ((1/(1 + exp(-x))) + err),x**2,x1 / (x2 + err),(1/(1 + exp(-x))),"min(erf(x), sqrt(x))",erf(x),"min(x1, x2)",sqrt(x),1 * log(1 + exp(x)),1,x1 * x2,log(1 + exp(x)),0.9236719012260437,0.6751999855041504
10,"max(log(1 + exp(x)), (-x))",log(1 + exp(x)),"max(x1, x2)",(-x),sqrt(x) * sqrt(x),sqrt(x),x1 * x2,sqrt(x),1 + asinh(x),1,x1 + x2,asinh(x),0.7885836958885193,0.7305999994277954
10,"max(asinh(x), (1/(1 + exp(-x))))",asinh(x),"max(x1, x2)",(1/(1 + exp(-x))),"max(min(x, 0), exp(-x^2))","min(x, 0)","max(x1, x2)",exp(-x^2),"(1/(1 + exp(-x))) - min(x, 0)",(1/(1 + exp(-x))),x1 - x2,"min(x, 0)",1.2590223550796509,0.5541999936103821
10,"max(log(1 + exp(x)), (1/(1 + exp(-x))))",log(1 + exp(x)),"max(x1, x2)",(1/(1 + exp(-x))),"max(min(x, 0), max(x, 0))","min(x, 0)","max(x1, x2)","max(x, 0)","min(x**2, asinh(x))",x**2,"min(x1, x2)",asinh(x),0.8137838840484619,0.7157999873161316
10,tanh(x) - exp(-x^2),tanh(x),x1 - x2,exp(-x^2),x - (1/(1 + exp(-x))),x,x1 - x2,(1/(1 + exp(-x))),"min(1, asinh(x))",1,"min(x1, x2)",asinh(x),0.8731306791305542,0.6948000192642212
10,"max(min(x, 0), min(x, 0))","min(x, 0)","max(x1, x2)","min(x, 0)","max(erf(x), 1)",erf(x),"max(x1, x2)",1,"sinc(x) * min(x, 0)",sinc(x),x1 * x2,"min(x, 0)",2.3025882244110107,0.10000000149011612
10,"max(cos(x), erf(x))",cos(x),"max(x1, x2)",erf(x),"min(log(1 + exp(x)), (1/(1 + exp(-x))))",log(1 + exp(x)),"min(x1, x2)",(1/(1 + exp(-x))),"min(x, 0) - x","min(x, 0)",x1 - x2,x,1.1130280494689941,0.6082000136375427
10,"max((-x), asinh(x))",(-x),"max(x1, x2)",asinh(x),log(1 + exp(x)) * (1/(1 + exp(-x))),log(1 + exp(x)),x1 * x2,(1/(1 + exp(-x))),(1/(1 + exp(-x))) + x,(1/(1 + exp(-x))),x1 + x2,x,0.8014689683914185,0.7157999873161316
10,"max(x**2, min(x, 0))",x**2,"max(x1, x2)","min(x, 0)","max(sqrt(x), asinh(x))",sqrt(x),"max(x1, x2)",asinh(x),"min(x**2, asinh(x))",x**2,"min(x1, x2)",asinh(x),nan,0.10000000149011612
10,"max((-x), min(x, 0))",(-x),"max(x1, x2)","min(x, 0)","sqrt(x) * min(x, 0)",sqrt(x),x1 * x2,"min(x, 0)",1 + asinh(x),1,x1 + x2,asinh(x),2.316986322402954,0.10000000149011612
10,"(-x) * min(x, 0)",(-x),x1 * x2,"min(x, 0)","max(min(x, 0), min(x, 0))","min(x, 0)","max(x1, x2)","min(x, 0)","sqrt(x) * min(x, 0)",sqrt(x),x1 * x2,"min(x, 0)",2.302589178085327,0.10000000149011612
10,erf(x) / (log(1 + exp(x)) + err),erf(x),x1 / (x2 + err),log(1 + exp(x)),"max((-x), tanh(x))",(-x),"max(x1, x2)",tanh(x),sinc(x) - asinh(x),sinc(x),x1 - x2,asinh(x),0.9010611176490784,0.6805999875068665
10,x**2 - (1/(1 + exp(-x))),x**2,x1 - x2,(1/(1 + exp(-x))),"min(x, 0) - asinh(x)","min(x, 0)",x1 - x2,asinh(x),(-x) * asinh(x),(-x),x1 * x2,asinh(x),0.9568557739257812,0.659600019454956
10,asinh(x) / (sinh(x) + err),asinh(x),x1 / (x2 + err),sinh(x),"max(min(x, 0), max(x, 0))","min(x, 0)","max(x1, x2)","max(x, 0)",1 + asinh(x),1,x1 + x2,asinh(x),nan,0.10000000149011612
10,x**2 - (1/(1 + exp(-x))),x**2,x1 - x2,(1/(1 + exp(-x))),"max(x**2, max(x, 0))",x**2,"max(x1, x2)","max(x, 0)","min(x**2, x)",x**2,"min(x1, x2)",x,1.62847101688385,0.41620001196861267
10,"min(x, 0) * log(1 + exp(x))","min(x, 0)",x1 * x2,log(1 + exp(x)),"max(1, asinh(x))",1,"max(x1, x2)",asinh(x),"1 * max(x, 0)",1,x1 * x2,"max(x, 0)",0.9087182879447937,0.6796000003814697
10,"max(cosh(x), erf(x))",cosh(x),"max(x1, x2)",erf(x),"max(min(x, 0), x)","min(x, 0)","max(x1, x2)",x,x**2 + asinh(x),x**2,x1 + x2,asinh(x),1.352315068244934,0.510200023651123
10,0 / (sqrt(x) + err),0,x1 / (x2 + err),sqrt(x),"max(atanh(x), 0)",atanh(x),"max(x1, x2)",0,"max((-x), 0)",(-x),"max(x1, x2)",0,nan,0.10000000149011612
10,"x**2 / (max(x, 0) + err)",x**2,x1 / (x2 + err),"max(x, 0)","max(0, log(1 + exp(x)))",0,"max(x1, x2)",log(1 + exp(x)),"max(x, 0) + min(x, 0)","max(x, 0)",x1 + x2,"min(x, 0)",2.3027780055999756,0.10000000149011612
10,sinh(x) + sqrt(x),sinh(x),x1 + x2,sqrt(x),"min((1/(1 + exp(-x))), sinc(x))",(1/(1 + exp(-x))),"min(x1, x2)",sinc(x),"max(sqrt(x), exp(x))",sqrt(x),"max(x1, x2)",exp(x),nan,0.10000000149011612
10,abs(x) - tanh(x),abs(x),x1 - x2,tanh(x),"min(1, min(x, 0))",1,"min(x1, x2)","min(x, 0)",sin(x) - tanh(x),sin(x),x1 - x2,tanh(x),0.8754960894584656,0.6916000247001648
10,cos(x) / (sinh(x) + err),cos(x),x1 / (x2 + err),sinh(x),0 * (1/(1 + exp(-x))),0,x1 * x2,(1/(1 + exp(-x))),atanh(x) - cosh(x),atanh(x),x1 - x2,cosh(x),nan,0.10000000149011612
10,(-x) + erf(x),(-x),x1 + x2,erf(x),exp(x) + sinc(x),exp(x),x1 + x2,sinc(x),sinh(x) - erf(x),sinh(x),x1 - x2,erf(x),nan,0.10000000149011612
10,(1/(1 + exp(-x))) / (asinh(x) + err),(1/(1 + exp(-x))),x1 / (x2 + err),asinh(x),sinh(x) * cos(x),sinh(x),x1 * x2,cos(x),"max(1, asinh(x))",1,"max(x1, x2)",asinh(x),nan,0.10000000149011612
10,sinh(x) - sinc(x),sinh(x),x1 - x2,sinc(x),erf(x) * (-x),erf(x),x1 * x2,(-x),"(1/(1 + exp(-x))) + min(x, 0)",(1/(1 + exp(-x))),x1 + x2,"min(x, 0)",nan,0.10000000149011612
10,sinc(x) - x**2,sinc(x),x1 - x2,x**2,x / (log(1 + exp(x)) + err),x,x1 / (x2 + err),log(1 + exp(x)),x * asinh(x),x,x1 * x2,asinh(x),nan,0.10000000149011612
10,sqrt(x) / (atanh(x) + err),sqrt(x),x1 / (x2 + err),atanh(x),"max(asinh(x), min(x, 0))",asinh(x),"max(x1, x2)","min(x, 0)","min(sinc(x), sin(x))",sinc(x),"min(x1, x2)",sin(x),nan,0.10000000149011612
11,"max(max(x, 0), min(x, 0))","max(x, 0)","max(x1, x2)","min(x, 0)",sqrt(x) * asinh(x),sqrt(x),x1 * x2,asinh(x),1 + asinh(x),1,x1 + x2,asinh(x),0.8246230483055115,0.7135999798774719
11,"max(min(x, 0), log(1 + exp(x)))","min(x, 0)","max(x1, x2)",log(1 + exp(x)),"max(1, asinh(x))",1,"max(x1, x2)",asinh(x),1 * log(1 + exp(x)),1,x1 * x2,log(1 + exp(x)),0.8005000352859497,0.7184000015258789
