Gen,C1_name,C1_unary1_key,C1_binary_key,C1_unary2_key,Loss,Accuracy
3,exp(-x^2) / ((1/(1 + exp(-x))) + err),exp(-x^2),x1 / (x2 + err),(1/(1 + exp(-x))),2.080913782119751,0.18459999561309814
3,"min(sinc(x), log(abs(x + err)))",sinc(x),"min(x1, x2)",log(abs(x + err)),nan,0.10000000149011612
3,asinh(x) * erf(x),asinh(x),x1 * x2,erf(x),1.0357608795166016,0.6381999850273132
3,x**3 / (exp(x) + err),x**3,x1 / (x2 + err),exp(x),nan,0.10000000149011612
3,cosh(x) + (-x),cosh(x),x1 + x2,(-x),nan,0.10000000149011612
3,"min(erf(x), cos(x))",erf(x),"min(x1, x2)",cos(x),1.6078996658325195,0.4374000132083893
3,"min(0, cosh(x))",0,"min(x1, x2)",cosh(x),2.3025870323181152,0.10000000149011612
3,erf(x) / (x**3 + err),erf(x),x1 / (x2 + err),x**3,nan,0.10000000149011612
3,sqrt(x) / (sin(x) + err),sqrt(x),x1 / (x2 + err),sin(x),nan,0.10000000149011612
3,"max(log(1 + exp(x)), sinh(x))",log(1 + exp(x)),"max(x1, x2)",sinh(x),nan,0.10000000149011612
3,"max(cosh(x), x)",cosh(x),"max(x1, x2)",x,nan,0.10000000149011612
3,"max(exp(-x^2), erf(x))",exp(-x^2),"max(x1, x2)",erf(x),1.2782386541366577,0.5533999800682068
3,"min(x, 0) + (-x)","min(x, 0)",x1 + x2,(-x),1.0754412412643433,0.6284000277519226
3,(-x) - x**3,(-x),x1 - x2,x**3,2.3039820194244385,0.10019999742507935
3,"min(cos(x), x**2)",cos(x),"min(x1, x2)",x**2,2.1075026988983154,0.21320000290870667
3,"max(tanh(x), sinc(x))",tanh(x),"max(x1, x2)",sinc(x),1.2160282135009766,0.5709999799728394
3,log(abs(x + err)) - abs(x),log(abs(x + err)),x1 - x2,abs(x),nan,0.10000000149011612
3,"min(erf(x), exp(x))",erf(x),"min(x1, x2)",exp(x),0.9024780988693237,0.6758000254631042
3,abs(x) / (x + err),abs(x),x1 / (x2 + err),x,nan,0.10000000149011612
3,"min(sinc(x), asinh(x))",sinc(x),"min(x1, x2)",asinh(x),nan,0.10000000149011612
3,0 - sinc(x),0,x1 - x2,sinc(x),nan,0.10000000149011612
