Gen,C1_name,C1_unary1_key,C1_binary_key,C1_unary2_key,Loss,Accuracy
2,"min(sqrt(x), log(1 + exp(x)))",sqrt(x),"min(x1, x2)",log(1 + exp(x)),nan,0.009999999776482582
2,"sin(x) - min(x, 0)",sin(x),x1 - x2,"min(x, 0)",3.13659930229187,0.25279998779296875
2,cosh(x) - atanh(x),cosh(x),x1 - x2,atanh(x),nan,0.009999999776482582
2,sin(x) / (abs(x) + err),sin(x),x1 / (x2 + err),abs(x),nan,0.009999999776482582
2,0 + (1/(1 + exp(-x))),0,x1 + x2,(1/(1 + exp(-x))),2.764021396636963,0.3131999969482422
2,0 - sqrt(x),0,x1 - x2,sqrt(x),nan,0.009999999776482582
2,sinc(x) + abs(x),sinc(x),x1 + x2,abs(x),nan,0.009999999776482582
2,"max(sinc(x), cosh(x))",sinc(x),"max(x1, x2)",cosh(x),nan,0.009999999776482582
2,"min(x, abs(x))",x,"min(x1, x2)",abs(x),2.9387948513031006,0.296999990940094
2,"min(cosh(x), 1)",cosh(x),"min(x1, x2)",1,4.6051716804504395,0.009999999776482582
2,"max(x, 0) - erf(x)","max(x, 0)",x1 - x2,erf(x),3.1869006156921387,0.23819999396800995
2,"min(0, sinh(x))",0,"min(x1, x2)",sinh(x),nan,0.009999999776482582
2,"min(log(1 + exp(x)), log(abs(x + err)))",log(1 + exp(x)),"min(x1, x2)",log(abs(x + err)),nan,0.009999999776482582
2,1 - cos(x),1,x1 - x2,cos(x),4.45764684677124,0.02759999968111515
2,abs(x) - cos(x),abs(x),x1 - x2,cos(x),3.274521589279175,0.22579999268054962
2,"max(log(1 + exp(x)), sin(x))",log(1 + exp(x)),"max(x1, x2)",sin(x),2.596518039703369,0.3562000095844269
2,exp(-x^2) + log(abs(x + err)),exp(-x^2),x1 + x2,log(abs(x + err)),nan,0.009999999776482582
2,"max(max(x, 0), x**2)","max(x, 0)","max(x1, x2)",x**2,5.478947639465332,0.010400000028312206
2,exp(-x^2) / (sin(x) + err),exp(-x^2),x1 / (x2 + err),sin(x),nan,0.009999999776482582
2,"min(min(x, 0), log(abs(x + err)))","min(x, 0)","min(x1, x2)",log(abs(x + err)),nan,0.009999999776482582
2,x**2 + sinc(x),x**2,x1 + x2,sinc(x),nan,0.009999999776482582
2,log(abs(x + err)) * cosh(x),log(abs(x + err)),x1 * x2,cosh(x),nan,0.009999999776482582
2,(-x) + x**2,(-x),x1 + x2,x**2,4.5457916259765625,0.030799999833106995
3,"(-x) + max(x, 0)",(-x),x1 + x2,"max(x, 0)",2.5890824794769287,0.35600000619888306
3,"max(log(1 + exp(x)), sin(x))",log(1 + exp(x)),"max(x1, x2)",sin(x),2.596518039703369,0.3562000095844269
3,"(-x) + max(x, 0)",(-x),x1 + x2,"max(x, 0)",2.6344690322875977,0.34200000762939453
3,"max(sinc(x), log(1 + exp(x)))",sinc(x),"max(x1, x2)",log(1 + exp(x)),2.9355132579803467,0.28619998693466187
3,"min(x**2, x)",x**2,"min(x1, x2)",x,2.7794713973999023,0.3240000009536743
3,"(-x) + min(x, 0)",(-x),x1 + x2,"min(x, 0)",2.9741299152374268,0.27000001072883606
3,"min(x**2, atanh(x))",x**2,"min(x1, x2)",atanh(x),nan,0.009999999776482582
3,"min(sin(x), x)",sin(x),"min(x1, x2)",x,2.8128349781036377,0.3046000003814697
3,x * exp(x),x,x1 * x2,exp(x),nan,0.009999999776482582
3,"max((1/(1 + exp(-x))), tanh(x))",(1/(1 + exp(-x))),"max(x1, x2)",tanh(x),2.7065176963806152,0.32440000772476196
3,"min(cosh(x), (-x))",cosh(x),"min(x1, x2)",(-x),2.996948719024658,0.27959999442100525
3,"max(tanh(x), exp(x))",tanh(x),"max(x1, x2)",exp(x),nan,0.009999999776482582
3,"max(log(abs(x + err)), max(x, 0))",log(abs(x + err)),"max(x1, x2)","max(x, 0)",2.6257684230804443,0.337799996137619
3,exp(x) * tanh(x),exp(x),x1 * x2,tanh(x),nan,0.009999999776482582
3,"(-x) + min(x, 0)",(-x),x1 + x2,"min(x, 0)",2.956160545349121,0.2759999930858612
3,sinc(x) + x,sinc(x),x1 + x2,x,nan,0.009999999776482582
3,"min(sinc(x), x)",sinc(x),"min(x1, x2)",x,nan,0.009999999776482582
