Gen,C1_name,C1_unary1_key,C1_binary_key,C1_unary2_key,C2_name,C2_unary1_key,C2_binary_key,C2_unary2_key,C3_name,C3_unary1_key,C3_binary_key,C3_unary2_key,Loss,Accuracy
8,"max(max(x, 0), 0)","max(x, 0)","max(x1, x2)",0,"max(0, cos(x))",0,"max(x1, x2)",cos(x),"min(exp(x), log(abs(x + err)))",exp(x),"min(x1, x2)",log(abs(x + err)),nan,0.10000000149011612
8,"max(cos(x), max(x, 0))",cos(x),"max(x1, x2)","max(x, 0)",exp(-x^2) * sqrt(x),exp(-x^2),x1 * x2,sqrt(x),"min(log(1 + exp(x)), cosh(x))",log(1 + exp(x)),"min(x1, x2)",cosh(x),nan,0.10000000149011612
8,0 + sinc(x),0,x1 + x2,sinc(x),sqrt(x) - exp(-x^2),sqrt(x),x1 - x2,exp(-x^2),"max(sin(x), tanh(x))",sin(x),"max(x1, x2)",tanh(x),nan,0.10000000149011612
8,"min(sqrt(x), log(abs(x + err)))",sqrt(x),"min(x1, x2)",log(abs(x + err)),"max((1/(1 + exp(-x))), min(x, 0))",(1/(1 + exp(-x))),"max(x1, x2)","min(x, 0)","min(x, atanh(x))",x,"min(x1, x2)",atanh(x),nan,0.10000000149011612
8,erf(x) - exp(-x^2),erf(x),x1 - x2,exp(-x^2),"max(x, sqrt(x))",x,"max(x1, x2)",sqrt(x),"min(sqrt(x), 1)",sqrt(x),"min(x1, x2)",1,1.1798961162567139,0.5752000212669373
8,log(abs(x + err)) - abs(x),log(abs(x + err)),x1 - x2,abs(x),"min(x, 0) * cosh(x)","min(x, 0)",x1 * x2,cosh(x),x**3 / (abs(x) + err),x**3,x1 / (x2 + err),abs(x),nan,0.10000000149011612
9,exp(-x^2) + tanh(x),exp(-x^2),x1 + x2,tanh(x),"max(sinc(x), (-x))",sinc(x),"max(x1, x2)",(-x),"min(sqrt(x), min(x, 0))",sqrt(x),"min(x1, x2)","min(x, 0)",nan,0.10000000149011612
9,"min(x**2, sinh(x))",x**2,"min(x1, x2)",sinh(x),"max(exp(x), erf(x))",exp(x),"max(x1, x2)",erf(x),"max(min(x, 0), abs(x))","min(x, 0)","max(x1, x2)",abs(x),nan,0.10000000149011612
9,exp(x) / ((1/(1 + exp(-x))) + err),exp(x),x1 / (x2 + err),(1/(1 + exp(-x))),"max(exp(x), max(x, 0))",exp(x),"max(x1, x2)","max(x, 0)","min(exp(x), sinh(x))",exp(x),"min(x1, x2)",sinh(x),nan,0.10000000149011612
9,x**3 - x**2,x**3,x1 - x2,x**2,sinc(x) * log(abs(x + err)),sinc(x),x1 * x2,log(abs(x + err)),exp(-x^2) * x**3,exp(-x^2),x1 * x2,x**3,nan,0.10000000149011612
9,"max(0, log(abs(x + err)))",0,"max(x1, x2)",log(abs(x + err)),sqrt(x) * sinc(x),sqrt(x),x1 * x2,sinc(x),log(1 + exp(x)) * 0,log(1 + exp(x)),x1 * x2,0,2.302586317062378,0.10000000149011612
9,asinh(x) + tanh(x),asinh(x),x1 + x2,tanh(x),(1/(1 + exp(-x))) - 0,(1/(1 + exp(-x))),x1 - x2,0,(1/(1 + exp(-x))) + tanh(x),(1/(1 + exp(-x))),x1 + x2,tanh(x),0.8922533392906189,0.6948000192642212
9,1 / ((1/(1 + exp(-x))) + err),1,x1 / (x2 + err),(1/(1 + exp(-x))),"max(0, exp(-x^2))",0,"max(x1, x2)",exp(-x^2),(1/(1 + exp(-x))) - tanh(x),(1/(1 + exp(-x))),x1 - x2,tanh(x),1.261817216873169,0.5529999732971191
9,log(1 + exp(x)) - cosh(x),log(1 + exp(x)),x1 - x2,cosh(x),sinc(x) - cosh(x),sinc(x),x1 - x2,cosh(x),"max(x, 0) * x**2","max(x, 0)",x1 * x2,x**2,nan,0.10000000149011612
9,sinh(x) * 0,sinh(x),x1 * x2,0,sinc(x) + x**2,sinc(x),x1 + x2,x**2,"max(x, x**3)",x,"max(x1, x2)",x**3,nan,0.10000000149011612
9,"max(min(x, 0), x)","min(x, 0)","max(x1, x2)",x,abs(x) - sin(x),abs(x),x1 - x2,sin(x),"max(max(x, 0), atanh(x))","max(x, 0)","max(x1, x2)",atanh(x),nan,0.10000000149011612
9,erf(x) / (cos(x) + err),erf(x),x1 / (x2 + err),cos(x),"min(x, 0) * cosh(x)","min(x, 0)",x1 * x2,cosh(x),x**2 - asinh(x),x**2,x1 - x2,asinh(x),nan,0.10000000149011612
9,"max(x, x**3)",x,"max(x1, x2)",x**3,"max(log(1 + exp(x)), asinh(x))",log(1 + exp(x)),"max(x1, x2)",asinh(x),atanh(x) + (1/(1 + exp(-x))),atanh(x),x1 + x2,(1/(1 + exp(-x))),nan,0.10000000149011612
9,1 / (cos(x) + err),1,x1 / (x2 + err),cos(x),"max(x, 0) / (exp(-x^2) + err)","max(x, 0)",x1 / (x2 + err),exp(-x^2),cos(x) + (-x),cos(x),x1 + x2,(-x),nan,0.10000000149011612
9,abs(x) * sinc(x),abs(x),x1 * x2,sinc(x),exp(-x^2) * erf(x),exp(-x^2),x1 * x2,erf(x),"min(x, erf(x))",x,"min(x1, x2)",erf(x),1.4434062242507935,0.47040000557899475
9,"max(x, 0) / (log(abs(x + err)) + err)","max(x, 0)",x1 / (x2 + err),log(abs(x + err)),"max((1/(1 + exp(-x))), cos(x))",(1/(1 + exp(-x))),"max(x1, x2)",cos(x),sinc(x) - log(abs(x + err)),sinc(x),x1 - x2,log(abs(x + err)),nan,0.10000000149011612
9,erf(x) + x**3,erf(x),x1 + x2,x**3,"max(x**3, (-x))",x**3,"max(x1, x2)",(-x),"min(1, abs(x))",1,"min(x1, x2)",abs(x),2.3063488006591797,0.10520000010728836
